Top pages,Clicks,Impressions,CTR,Position
https://barmagazine.com/best-bars/dubai/cocktail-bars,2,39,5.13%,12.46
https://barmagazine.com/best-bars/athens,2,35,5.71%,15.03
https://barmagazine.com/bars/city/kuala-lumpur,2,35,5.71%,37.46
https://barmagazine.com/best-bars/houston,2,32,6.25%,8.66
https://barmagazine.com/bars/convoy-music-bar,2,31,6.45%,10.58
https://barmagazine.com/bars/dangerous-water-palma-de-mallorca,2,30,6.67%,7.53
https://barmagazine.com/best-bars/london/cocktail-bars,2,29,6.9%,8.55
https://barmagazine.com/hyper-drinks-by-angelos-bafas-redefines-cocktail-simplicity,2,28,7.14%,7.04
https://barmagazine.com/giorgio-bargiani-altos-bartenders-bartender-2026,2,27,7.41%,4.44
https://barmagazine.com/best-bars/new-delhi,2,25,8%,9.92
https://barmagazine.com/best-bars/seattle/cocktail-bars,2,23,8.7%,10.26
https://barmagazine.com/best-bars/edinburgh,2,21,9.52%,18.76
https://barmagazine.com/awards/james-beard,2,12,16.67%,4.25
https://barmagazine.com/best-bars/san-francisco,2,7,28.57%,4.57
https://barmagazine.com/bars/hide,1,247,0.4%,10.5
https://barmagazine.com/bars/string-s-bar,1,227,0.44%,8.15
https://barmagazine.com/best-bars/montreal/speakeasies,1,154,0.65%,10.42
https://barmagazine.com/bars,1,144,0.69%,51.83
https://barmagazine.com/best-bars/budapest,1,143,0.7%,25.27
https://barmagazine.com/best-bars/las-vegas,1,133,0.75%,24.96
https://barmagazine.com/bars/offtrack,1,118,0.85%,8.65
https://barmagazine.com/europes-50-best-bars-2026-line-athens-number-one,1,113,0.88%,8.96
https://barmagazine.com/best-bars/vienna/cocktail-bars,1,113,0.88%,28.22
https://barmagazine.com/bars/knock-on-wood,1,105,0.95%,5.56
https://barmagazine.com/bars/off-the-record-dc,1,91,1.1%,11.26
https://barmagazine.com/bars/old-fashioned-bar,1,82,1.22%,8.49
https://barmagazine.com/bars/arbane-cocktail-bar,1,80,1.25%,11.49
https://barmagazine.com/bars/bar-long-fong,1,79,1.27%,7.41
https://barmagazine.com/bars/city/paris,1,71,1.41%,12.72
https://barmagazine.com/best-bars/boston,1,67,1.49%,15.43
https://barmagazine.com/5-daily-bar-metrics-to-keep-your-bar-open,1,65,1.54%,8.12
https://barmagazine.com/best-bars/vancouver,1,61,1.64%,15.25
https://barmagazine.com/best-bars/sydney/cocktail-bars,1,58,1.72%,23.47
https://barmagazine.com/best-bars/bratislava,1,55,1.82%,11.35
https://barmagazine.com/bars/truth-dare,1,53,1.89%,8.06
https://barmagazine.com/danico-paris-10th-anniversary-best-of-cocktail-menu,1,52,1.92%,6.33
https://barmagazine.com/bars/dragonfly,1,50,2%,12.92
https://barmagazine.com/best-bars/new-orleans,1,50,2%,18.28
https://barmagazine.com/bars/wu,1,46,2.17%,7.48
https://barmagazine.com/best-bars/san-francisco/cocktail-bars,1,42,2.38%,24.12
https://barmagazine.com/best-bars/san-diego,1,41,2.44%,15.9
https://barmagazine.com/bars/don-woods-say-when,1,40,2.5%,11.38
https://barmagazine.com/best-bars/lisbon,1,39,2.56%,17.44
https://barmagazine.com/the-cocktail-balance-2-0,1,38,2.63%,7.95
https://barmagazine.com/bees-bar-narisawa-residencia-mexicana-tokio-2026,1,37,2.7%,5.89
https://barmagazine.com/best-bars/nashville,1,36,2.78%,25.22
https://barmagazine.com/best-bars/paris,1,33,3.03%,6.64
https://barmagazine.com/the-pontiac-hong-kong-neon-lit-menu,1,32,3.12%,8.38
https://barmagazine.com/the-st-regis-bar-jakarta-revives-1920s-jazz-in-cocktails,1,31,3.23%,8.26
https://barmagazine.com/bars/father-forgive-me,1,31,3.23%,11.39
https://barmagazine.com/diageo-world-class-2026-top-15-us-finalists-named,1,29,3.45%,8.9
https://barmagazine.com/bars/country/italy,1,29,3.45%,11.83
https://barmagazine.com/jin-bo-law-hong-kong-cocktail-menu-review,1,28,3.57%,7.18
https://barmagazine.com/bars/real-charmer,1,27,3.7%,8.67
https://barmagazine.com/bars/stir,1,27,3.7%,9
https://barmagazine.com/best-bars/jakarta/cocktail-bars,1,27,3.7%,9.19
https://barmagazine.com/bars/bar-maritime,1,27,3.7%,9.3
https://barmagazine.com/bars/bar-pomme,1,27,3.7%,9.3
https://barmagazine.com/bars/chimney,1,27,3.7%,9.59
https://barmagazine.com/best-bars/chicago,1,25,4%,10.12
https://barmagazine.com/bars/mount-pleasant-vintage-provisions,1,25,4%,19.48
https://barmagazine.com/bars/catbird,1,24,4.17%,10.67
https://barmagazine.com/bars/hero-bar,1,23,4.35%,9.22
https://barmagazine.com/best-bars/oaxaca,1,23,4.35%,9.26
https://barmagazine.com/ryan-chetiyawardana-on-innovation-at-silver-lyan,1,22,4.55%,11.45
https://barmagazine.com/bars/service-bar-dc,1,22,4.55%,13
https://barmagazine.com/best-bars/austin/cocktail-bars,1,22,4.55%,28.27
https://barmagazine.com/bars/polestar,1,20,5%,6.95
https://barmagazine.com/best-bars/milan,1,20,5%,6.95
https://barmagazine.com/europes-50-best-bars-2026-with-the-polot-1882-family,1,19,5.26%,5.68
https://barmagazine.com/top-10-bars-in-singapore-2026,1,18,5.56%,9.83
https://barmagazine.com/bars/the-green-zone,1,18,5.56%,13.22
https://barmagazine.com/india-cocktail-week-2025,1,18,5.56%,13.61
https://barmagazine.com/bars/bar-nouveau,1,16,6.25%,10.75
https://barmagazine.com/bars/bar-leone-shanghai,1,15,6.67%,7.27
https://barmagazine.com/central-europe-hospitality-expo-cehe-2027,1,15,6.67%,10
https://barmagazine.com/aaron-diaz-superbar-peru,1,14,7.14%,5.14
https://barmagazine.com/best-bars/barcelona/cocktail-bars,1,14,7.14%,7.5
https://barmagazine.com/scarfes-bar-hosts-bar-leone-for-exclusive-london-takeover,1,11,9.09%,7.27
https://barmagazine.com/asian-twist-signature-cocktails-from-macau-and-hong-kong,1,11,9.09%,8.73
https://barmagazine.com/best-bars/dubai,1,10,10%,6.8
https://barmagazine.com/the-california-bar-culture-history,1,9,11.11%,6.33
https://barmagazine.com/bars/jewel-of-the-south,1,9,11.11%,26.78
https://barmagazine.com/best-bars/new-york/speakeasies,1,9,11.11%,27.89
https://barmagazine.com/bars/sangai,1,7,14.29%,5.43
https://barmagazine.com/nicola-olianas-on-heritage-innovation-and-the-future-of-mixology,1,7,14.29%,6.57
https://barmagazine.com/wing-lei-bars-unity-cocktail-menu-celebrates-global-flavors,1,7,14.29%,7.29
https://barmagazine.com/bars/city/tijuana,1,7,14.29%,9.57
https://barmagazine.com/top-10-bars-in-london-2026,1,6,16.67%,10.67
https://barmagazine.com/bars/royal-cocktail-club,1,6,16.67%,15.67
https://barmagazine.com/best-bars-in-southeast-asia,1,5,20%,5.2
https://barmagazine.com/bars/dunlin,1,5,20%,9.2
https://barmagazine.com/bars/la-calor,1,4,25%,8.5
https://barmagazine.com/bars/clap-ongaku,1,4,25%,9.25
https://barmagazine.com/best-bars/country/ireland/cocktail-bars,1,1,100%,2
https://barmagazine.com/bars/city/karlovy-vary,1,1,100%,10
https://barmagazine.com/bars/planta-baja-cocktail-bar,0,343,0%,6.72
https://barmagazine.com/bars/bar-sistema,0,226,0%,8.88
https://barmagazine.com/bars/fix-me-a-drink,0,215,0%,7.95
https://barmagazine.com/bars/city/new-york,0,209,0%,33.43
https://barmagazine.com/bars/pop-city-x-pony,0,197,0%,10.44
https://barmagazine.com/bars/bar-benjamin,0,184,0%,9.49
https://barmagazine.com/imbibe-by-david-wondrich,0,152,0%,6.36
https://barmagazine.com/bars/city/las-vegas,0,152,0%,32.77
https://barmagazine.com/bars/city/tokyo,0,137,0%,32.85
https://barmagazine.com/unveiling-p31-aperitivo-green,0,136,0%,4.33
https://barmagazine.com/bars/flisak-76,0,134,0%,8.99
https://barmagazine.com/bars/gaia-cocktails,0,123,0%,7.8
https://barmagazine.com/top-10-bars-in-dubai-2025,0,105,0%,27.27
https://barmagazine.com/worlds-50-best-bars-2026-milan,0,104,0%,6.62
https://barmagazine.com/bars/the-best-kept-secret,0,104,0%,8.11
https://barmagazine.com/bars/lupo,0,104,0%,9.62
https://barmagazine.com/bars/city/los-angeles,0,103,0%,29.86
https://barmagazine.com/bars/fresh-kills-bar,0,99,0%,16.35
https://barmagazine.com/bars/paloma-nera,0,96,0%,9.24
https://barmagazine.com/tres-monos-named-best-bar-in-south-america,0,95,0%,7.06
https://barmagazine.com/bars/not-no-bar,0,91,0%,9.92
https://barmagazine.com/bars/feliks-bar-cafe,0,90,0%,7.32
https://barmagazine.com/medellin-cocktail-week-2026,0,89,0%,4.24
https://barmagazine.com/bars/michalska-cocktail-room,0,89,0%,10.65
https://barmagazine.com/top-6-french-liqueurs-every-bartender-should-know,0,89,0%,11.8
https://barmagazine.com/bars/the-silver-stamp,0,88,0%,10.88
https://barmagazine.com/bars/amma-don,0,87,0%,8.23
https://barmagazine.com/margarita-mile-hong-kong-2026,0,84,0%,7.25
https://barmagazine.com/europes-50-best-bars-to-launch-in-2026,0,82,0%,8.99
https://barmagazine.com/bars/farmacia-boston,0,82,0%,9.77
https://barmagazine.com/bars/city/hong-kong,0,78,0%,26.79
https://barmagazine.com/bars/city/bangkok,0,78,0%,32.69
https://barmagazine.com/bars/double-fun,0,76,0%,6.99
https://barmagazine.com/bars/solange-cocktails-luxury-spirits,0,76,0%,9.07
https://barmagazine.com/delhi-cocktail-week-2026-returns-to-delhi-ncr,0,75,0%,8.51
https://barmagazine.com/category/people,0,75,0%,13.01
https://barmagazine.com/bars/lovo-cocktail-bar-madrid,0,73,0%,8.23
https://barmagazine.com/bars/side-door,0,73,0%,9.96
https://barmagazine.com/bars/one-tippling-place-philadelphia,0,73,0%,10.53
https://barmagazine.com/asias-50-best-bars-2025-names-bar-leone-no-1-again,0,70,0%,9.91
https://barmagazine.com/bars/city/seoul,0,69,0%,23.33
https://barmagazine.com/best-bars/seattle/speakeasies,0,68,0%,14.01
https://barmagazine.com/best-bars/toronto,0,68,0%,18.34
https://barmagazine.com/bars/the-loft,0,67,0%,7.75
https://barmagazine.com/bars/urania-bar,0,67,0%,9.64
https://barmagazine.com/events,0,67,0%,12.72
https://barmagazine.com/best-bars/sydney,0,67,0%,42.12
https://barmagazine.com/bars/segreto-athens,0,65,0%,6.6
https://barmagazine.com/best-cocktail-bars-amsterdam-2026,0,65,0%,8.74
https://barmagazine.com/bars/bar-mauro,0,63,0%,10.29
https://barmagazine.com/category/cocktails,0,63,0%,10.44
https://barmagazine.com/bars/bgc-denver,0,62,0%,13.4
https://barmagazine.com/bars/leo-rooftop,0,60,0%,14.92
https://barmagazine.com/best-bars/amsterdam,0,59,0%,8.36
https://barmagazine.com/bars/bijou-drinkery-room,0,59,0%,9.32
https://barmagazine.com/bars/mecenas,0,57,0%,7.6
https://barmagazine.com/bars/papa-doble,0,57,0%,8.12
https://barmagazine.com/bars/bar-pacyfik,0,56,0%,11.5
https://barmagazine.com/bars/martinys,0,55,0%,11.05
https://barmagazine.com/bars/devils-toboggan,0,54,0%,8.93
https://barmagazine.com/barcelona-hotel-bar-week-2026,0,53,0%,5.3
https://barmagazine.com/garnish-cross-contamination-the-hidden-risk-in-your-bar,0,53,0%,10.77
https://barmagazine.com/bars/bar-ana,0,52,0%,5.87
https://barmagazine.com/bars/bar-kaiju,0,52,0%,10
https://barmagazine.com/north-americas-50-best-bars-2026-results,0,51,0%,4
https://barmagazine.com/bars/all-night-skate,0,51,0%,6.59
https://barmagazine.com/bars/bar-chenin,0,51,0%,8.88
https://barmagazine.com/best-bars/melbourne,0,51,0%,15.25
https://barmagazine.com/category/brands,0,50,0%,10.14
https://barmagazine.com/bars/bathtub-gin-seattle,0,50,0%,14.06
https://barmagazine.com/bars/city/miami,0,50,0%,26
https://barmagazine.com/bars/the-trust,0,49,0%,8.39
https://barmagazine.com/feature-your-bar,0,48,0%,4.85
https://barmagazine.com/bars/roots-zagreb,0,48,0%,9.25
https://barmagazine.com/best-bars/san-diego/cocktail-bars,0,48,0%,15.48
https://barmagazine.com/bars/native,0,47,0%,12.47
https://barmagazine.com/category/bars,0,45,0%,4.87
https://barmagazine.com/bars/bar-shoji,0,45,0%,19.47
https://barmagazine.com/inside-britannia-bar-trondheim-norways-best-menu-2026,0,45,0%,24.22
https://barmagazine.com/camp-runamok-bartender-retreat-in-bourbon-country,0,44,0%,7.39
https://barmagazine.com/bars/kultura-bar,0,44,0%,7.84
https://barmagazine.com/bars/le-calbar,0,44,0%,9.11
https://barmagazine.com/bars/lady-jane,0,44,0%,9.86
https://barmagazine.com/bars/bar-snack,0,44,0%,12.75
https://barmagazine.com/saikindo-abu-dhabi-aji-no-hibiki-menu,0,41,0%,7.95
https://barmagazine.com/best-bars/bengaluru,0,41,0%,15.15
https://barmagazine.com/best-bars/tokyo/cocktail-bars,0,40,0%,11.6
https://barmagazine.com/bars/thyme-bar,0,40,0%,11.8
https://barmagazine.com/mastering-classic-american-cocktails,0,40,0%,18.35
https://barmagazine.com/bars/cahoots,0,40,0%,22.57
https://barmagazine.com/bars/city/sydney,0,40,0%,38.02
https://barmagazine.com/bars/el-koktel,0,39,0%,9.18
https://barmagazine.com/bars/needle-and-thread-seattle,0,39,0%,12.28
https://barmagazine.com/best-bars/singapore/cocktail-bars,0,38,0%,6.58
https://barmagazine.com/tayer-elementary-casual-by-tayer-cato-london,0,38,0%,9.79
https://barmagazine.com/category/awards-events,0,37,0%,5.16
https://barmagazine.com/bars/d-still,0,37,0%,7
https://barmagazine.com/goldcock-the-oldest-czech-whisky,0,36,0%,8.39
https://barmagazine.com/bars/bagheera,0,36,0%,18.56
https://barmagazine.com/bars/suzu-bar,0,35,0%,7.2
https://barmagazine.com/bars/bar-libre,0,35,0%,7.66
https://barmagazine.com/bars/the-curtain-club,0,35,0%,10.66
https://barmagazine.com/the-worlds-50-best-bars-2024-reveals-bars-ranked-51-100,0,34,0%,8.29
https://barmagazine.com/bars/draft-land,0,34,0%,8.47
https://barmagazine.com/bars/june-on-cambie,0,34,0%,14.26
https://barmagazine.com/bars/millys,0,33,0%,7.73
https://barmagazine.com/bars/tlecan,0,33,0%,8.3
https://barmagazine.com/bars/bechers-bar,0,33,0%,8.85
https://barmagazine.com/bars/city/trondheim,0,33,0%,42.88
https://barmagazine.com/simone-caporale,0,32,0%,5.75
https://barmagazine.com/best-bars/seattle,0,32,0%,5.94
https://barmagazine.com/bars/bisou-canal,0,32,0%,9.69
https://barmagazine.com/bars/mysterium-cocktail-bar-firenze,0,32,0%,10.5
https://barmagazine.com/bars/sky-bar-bratislava,0,32,0%,11.44
https://barmagazine.com/bars/moonshine-dubai,0,32,0%,11.84
https://barmagazine.com/bars/a-bar-with-shapes-for-a-name,0,32,0%,15.38
https://barmagazine.com/best-bars/phoenix,0,32,0%,21.44
https://barmagazine.com/bars/city/singapore,0,32,0%,42.91
https://barmagazine.com/bars/citrus-cane,0,31,0%,8.77
https://barmagazine.com/bars/baltra-bar,0,31,0%,10.84
https://barmagazine.com/italian-aperitivo-cocktails,0,31,0%,75.9
https://barmagazine.com/bars/fuk-cocktail-bar-music-more,0,30,0%,9.3
https://barmagazine.com/world-gin-week-2026-debut,0,30,0%,9.67
https://barmagazine.com/best-bars/los-angeles,0,30,0%,10.27
https://barmagazine.com/himkoks-sips-beats-cocktail-menu,0,30,0%,11.07
https://barmagazine.com/bars/amazonia-dc,0,30,0%,19.6
https://barmagazine.com/the-grey-room-brings-spice-driven-mixology-to-ginza,0,29,0%,7.93
https://barmagazine.com/best-bars/mexico-city/cocktail-bars,0,29,0%,8.1
https://barmagazine.com/bars/honky-tonks-tavern,0,29,0%,10.17
https://barmagazine.com/bars/city/taipei,0,29,0%,23.48
https://barmagazine.com/bars/city/barcelona,0,29,0%,26
https://barmagazine.com/cocktails-with-a-modern-twist,0,29,0%,60.93
https://barmagazine.com/bars/bees-bar-by-narisawa,0,28,0%,6.39
https://barmagazine.com/bars/bar-hommage,0,28,0%,7.64
https://barmagazine.com/bars/johnnys-gold-brick,0,28,0%,8.46
https://barmagazine.com/bars/inge-s-bar,0,28,0%,8.79
https://barmagazine.com/bars/the-lucky-liquor-co,0,28,0%,11.21
https://barmagazine.com/bars/blind-tiger,0,28,0%,11.68
https://barmagazine.com/best-bars/melbourne/cocktail-bars,0,28,0%,31.54
https://barmagazine.com/bars/the-vault,0,28,0%,42.57
https://barmagazine.com/yael-stormborn,0,27,0%,5.89
https://barmagazine.com/top-10-bars-in-hong-kong-for-2026,0,27,0%,6.85
https://barmagazine.com/bars/foxtrot,0,27,0%,8.26
https://barmagazine.com/bars/le-caveau,0,27,0%,8.59
https://barmagazine.com/bars/minus-one-bar,0,27,0%,9.07
https://barmagazine.com/bars/victor-audio-bar-buenos-aires,0,27,0%,9.19
https://barmagazine.com/bars/american-bonded-denver,0,27,0%,9.26
https://barmagazine.com/bars/country/greece,0,27,0%,10.81
https://barmagazine.com/bars/josef-cocktail-bar,0,27,0%,12.26
https://barmagazine.com/bars/flair,0,27,0%,23.15
https://barmagazine.com/bartenders-choice-awards-2026-all-the-winners,0,26,0%,6.42
https://barmagazine.com/bars/friends-of-friends,0,26,0%,10.12
https://barmagazine.com/bars/bisous,0,26,0%,12.58
https://barmagazine.com/bars/kwant-mayfair,0,26,0%,20.38
https://barmagazine.com/bars/city/mexico-city,0,26,0%,24.92
https://barmagazine.com/bars/ozone,0,26,0%,28.54
https://barmagazine.com/wfa-online-continental-championship-2026,0,25,0%,6.24
https://barmagazine.com/best-bars/bangkok/cocktail-bars,0,25,0%,7.28
https://barmagazine.com/meehans-bartender-manual,0,25,0%,8.24
https://barmagazine.com/bars/socio,0,25,0%,9.84
https://barmagazine.com/north-americas-50-best-bars-2026-the-extended-list,0,25,0%,11.6
https://barmagazine.com/bars/officina-milano,0,25,0%,11.76
https://barmagazine.com/bars/the-portrait-bar,0,25,0%,13.4
https://barmagazine.com/best-bars/bangkok,0,25,0%,14.72
https://barmagazine.com/bars/septime-la-cave,0,25,0%,34.88
https://barmagazine.com/boris-ivan-on-the-rise-of-asian-bar-culture,0,24,0%,4.58
https://barmagazine.com/bars/three-sheets-soho,0,24,0%,6.46
https://barmagazine.com/bars/el-espacio-cocktail-mezcal-agave-bar,0,24,0%,7.92
https://barmagazine.com/top-10-bars-in-new-york-2026,0,24,0%,8.79
https://barmagazine.com/bars/paradiso-stockholm,0,24,0%,10.42
https://barmagazine.com/amsterdam-cocktail-week-2026-bars-events-guide,0,23,0%,6.7
https://barmagazine.com/bars/mori-bar,0,23,0%,9.91
https://barmagazine.com/bars/century-grand,0,23,0%,10.48
https://barmagazine.com/bars/city/shanghai,0,23,0%,12.39
https://barmagazine.com/bars/employees-only,0,23,0%,24.78
https://barmagazine.com/cocktail-trends-2026-top-6-shifts-shaping-the-bar,0,22,0%,6.23
https://barmagazine.com/bars/bar-mate,0,22,0%,7.77
https://barmagazine.com/spirited-awards-2026-winners-tales-of-the-cocktail,0,22,0%,7.91
https://barmagazine.com/bars/bar-high-five,0,22,0%,16.09
https://barmagazine.com/bars/kumandra,0,21,0%,6.81
https://barmagazine.com/musket-room-unveils-new-all-female-wine-leadership-team,0,21,0%,7.9
https://barmagazine.com/bars/furtivo-speakeasy,0,21,0%,9.14
https://barmagazine.com/bars/coa,0,21,0%,11.33
https://barmagazine.com/bars/mius,0,21,0%,12.38
https://barmagazine.com/bars/attaboy-nashville,0,21,0%,12.76
https://barmagazine.com/bars/santana-bar,0,20,0%,6.5
https://barmagazine.com/bars/yakoboku,0,20,0%,8.7
https://barmagazine.com/horatio-at-resorts-world-sentosa-opens-in-singapore,0,20,0%,8.75
https://barmagazine.com/bar-sathorn-redefines-bangkok-as-a-cultural-exchange-bar,0,20,0%,9.95
https://barmagazine.com/bars/allegory-dc,0,20,0%,16.3
https://barmagazine.com/bars/laki-kane,0,19,0%,9.63
https://barmagazine.com/bars/marlowe-bar,0,19,0%,9.63
https://barmagazine.com/bars/southside-parlor,0,19,0%,9.63
https://barmagazine.com/bars/andre-til-hoyre,0,19,0%,10.74
https://barmagazine.com/bars/licoreria-limantour,0,19,0%,11.26
https://barmagazine.com/best-bars/pune,0,19,0%,12
https://barmagazine.com/best-bars/vienna,0,19,0%,13.58
https://barmagazine.com/bars/hecate-bar-boston,0,19,0%,17.95
https://barmagazine.com/silver-lyan-sam-nellis-nightcap-cocktails,0,19,0%,26.11
https://barmagazine.com/bars/city/austin,0,19,0%,33.05
https://barmagazine.com/bars/attaboy,0,19,0%,37.63
https://barmagazine.com/bars/schmuck,0,18,0%,6.83
https://barmagazine.com/bars/sips,0,18,0%,7.39
https://barmagazine.com/bars/mingles-hidden-cocktail-bar,0,18,0%,7.83
https://barmagazine.com/bars/boticario,0,18,0%,9.72
https://barmagazine.com/best-bars/washington-dc/hotel-bars,0,18,0%,9.72
https://barmagazine.com/bars/handshake-speakeasy,0,18,0%,10.67
https://barmagazine.com/best-bars/venice,0,18,0%,10.78
https://barmagazine.com/bars/bourkes,0,18,0%,10.83
https://barmagazine.com/category/awards,0,18,0%,11.28
https://barmagazine.com/bars/city/jakarta,0,18,0%,11.33
https://barmagazine.com/bars/bar-tonique,0,18,0%,17.33
https://barmagazine.com/best-bars/cape-town,0,18,0%,19.33
https://barmagazine.com/bars/scarfes-bar,0,18,0%,21.83
https://barmagazine.com/bars/city/seattle,0,18,0%,28.22
https://barmagazine.com/bars/city/chicago,0,18,0%,28.39
https://barmagazine.com/bars/city/rome,0,18,0%,35.67
https://barmagazine.com/bars/city/budapest,0,18,0%,41.22
https://barmagazine.com/bars/pony-and-plume,0,17,0%,6.82
https://barmagazine.com/top-500-bars-2024-celebrates-the-best-in-global-mixology,0,17,0%,7.47
https://barmagazine.com/bars/alonetogether,0,17,0%,7.82
https://barmagazine.com/a-new-book-documents-the-history-of-flair-bartending,0,17,0%,7.94
https://barmagazine.com/bars/bar-tea-scent,0,17,0%,8
https://barmagazine.com/melange-by-cali-sober-is-rewriting-new-orleans-nightlife,0,17,0%,8
https://barmagazine.com/the-era-of-artificial-intelligence-in-mixology,0,17,0%,8.41
https://barmagazine.com/cantina-ok-unveils-ritual-inspired-cocktails,0,17,0%,8.76
https://barmagazine.com/scarfes-bar-at-rosewood-london-launches-from-scratch-cocktail-menu,0,17,0%,10.18
https://barmagazine.com/bars/damn-i-miss-paris,0,17,0%,10.47
https://barmagazine.com/bars/the-old-house,0,17,0%,11.41
https://barmagazine.com/best-bars/austin,0,17,0%,17.06
https://barmagazine.com/bars/city/zurich,0,17,0%,23.76
https://barmagazine.com/bars/city/changsha,0,17,0%,23.88
https://barmagazine.com/bars/city/florence,0,17,0%,27
https://barmagazine.com/bars/barmini-dc,0,17,0%,31.35
https://barmagazine.com/bars/city/venice,0,17,0%,36.12
https://barmagazine.com/tres-monos-turns-buenos-aires-into-a-cocktail-carnival,0,16,0%,4.88
https://barmagazine.com/bars/pony-up,0,16,0%,10.06
https://barmagazine.com/bars/la-jefa-philadelphia,0,16,0%,11.62
https://barmagazine.com/bars/aqua-bar,0,16,0%,12.31
https://barmagazine.com/bars/bar-trench,0,16,0%,18.06
