Top queries,Clicks,Impressions,CTR,Position
best bars in shanghai,1,3,33.33%,14
cocktail bars zurich,1,3,33.33%,19
best bars vancouver,1,3,33.33%,21.67
best bars san diego,1,3,33.33%,23
the royal cocktail club,1,3,33.33%,24.67
father forgive me detroit,1,3,33.33%,26
mius bar,1,3,33.33%,30.33
top cocktail bars,1,3,33.33%,32.33
best cocktail bars los angeles,1,3,33.33%,36.33
silver lyan dc,1,2,50%,1.5
best bars in seattle 2026,1,2,50%,3.5
best bars in boston 2026,1,2,50%,4.5
best cocktail bars boston 2026,1,2,50%,7
best cocktail bars in rio de janeiro,1,2,50%,7
bar mauro 50 best,1,2,50%,7.5
bars milan,1,2,50%,8
best bar in italy,1,2,50%,9
best bars buenos aires,1,2,50%,9.5
cocktail bars miami,1,2,50%,10.5
best cocktail bar in boston,1,2,50%,11
best bars delhi,1,2,50%,11.5
menù paradiso barcelona,1,2,50%,11.5
ecototes,1,2,50%,13.5
top 10 bars in bangalore,1,2,50%,18
bar leone shanghai,1,2,50%,20
cheers bar,1,1,100%,1
kända personer,1,1,100%,1
nenne mir mehr,1,1,100%,1
top 50 bars europe 2026,1,1,100%,1
asia top 50 bars ho chi minh,1,1,100%,2
saikindō,1,1,100%,2
best cocktail bars amsterdam 2026,1,1,100%,3
best cocktail bars vegas,1,1,100%,3
und in amsterdam,1,1,100%,3
worlds best bars athens,1,1,100%,3
best bars lima,1,1,100%,4
quali sono i ristoranti,1,1,100%,4
asian inspired cocktail,1,1,100%,6
best bars in berlin 2026,1,1,100%,6
campari negroni month,1,1,100%,6
best cocktail bars in vancouver bc,1,1,100%,8
best cocktail bars tokyo 2026,1,1,100%,8
coolest bars in copenhagen,1,1,100%,8
best bars nyc 2026,1,1,100%,11
bonnie bonella,1,1,100%,12
dunlin innsbruck,1,1,100%,15
trillby and chadwick helsinki,1,1,100%,16
new bars london 2026,1,1,100%,20
best bars in kuala lumpur,1,1,100%,26
2026 bar,1,1,100%,35
small victory austin bar,1,1,100%,58
bar,0,371,0%,38.93
hats bar,0,273,0%,7.48
pop city,0,271,0%,12.25
negroni week 2026,0,258,0%,7.93
hide budapest,0,194,0%,10.39
somma bar,0,175,0%,10.06
bar metrics,0,164,0%,9.02
b&gc,0,164,0%,9.16
bar in bangkok,0,147,0%,40.71
bar deco,0,142,0%,7.56
french liqueur,0,137,0%,7.05
fresh kills bar,0,128,0%,13.95
papa doble firenze,0,120,0%,8.72
bar tokyo,0,120,0%,43.92
pop city x pony,0,117,0%,10.03
urania bar,0,109,0%,10.92
knock on wood,0,104,0%,6.88
american cocktails,0,102,0%,9.42
bar sistema split,0,101,0%,8.84
needle and thread seattle,0,100,0%,11.78
bar benjamin los angeles,0,93,0%,10.08
wishka,0,92,0%,8.97
1986 coconut grove owner,0,91,0%,10.05
bangkok bars,0,90,0%,39.3
camp runamok,0,85,0%,8.14
bubbles book,0,85,0%,9.18
hong kong bar,0,85,0%,39.4
gaia cocktails,0,80,0%,7.97
paradiso barcelona menu,0,79,0%,9.52
the reserve bar las vegas,0,78,0%,12.01
kuala lumpur bar,0,78,0%,39.46
bars in tokyo,0,76,0%,45.96
knock on wood jakarta,0,74,0%,4.74
best bar in tokyo,0,74,0%,30.57
bar mauro,0,72,0%,11.57
flisak 76,0,71,0%,10.3
1 tippling place,0,71,0%,11.04
las vegas bars,0,70,0%,27.49
off the record dc,0,69,0%,11.78
silver stamp las vegas,0,68,0%,10.87
bars in sydney,0,67,0%,40.12
india cocktail week 2026,0,65,0%,8.75
bijou mexico city,0,64,0%,9.98
cocktail bar kuala lumpur city centre,0,62,0%,41.81
pop city singapore,0,60,0%,10.52
france liqueur market,0,60,0%,23.4
mingles hidden cocktail bar,0,59,0%,10.25
vinbaren britannia,0,59,0%,54.08
imbibe david wondrich,0,55,0%,8.6
washington dc bars,0,55,0%,31.85
sydney bars,0,55,0%,43.31
bangkok bar,0,55,0%,53.27
codigo 86,0,54,0%,10.69
bar in hong kong,0,53,0%,40.83
bar deco copenhagen,0,52,0%,7.29
paloma nera cocktail bar,0,52,0%,9.44
not no bar,0,52,0%,9.63
bars in bengaluru,0,52,0%,16.4
best bar in bangkok,0,52,0%,44.21
farmacia boston,0,51,0%,10.29
aperitif,0,51,0%,69.51
bar lupo,0,49,0%,9.8
singapore bars,0,49,0%,44.73
p31 aperitivo,0,48,0%,3.4
p31 aperitivo green,0,48,0%,3.67
green aperol spritz,0,47,0%,2.09
bar ana,0,47,0%,5.87
el koktel,0,47,0%,10.13
cocktail bar dubai,0,47,0%,37.98
old fashioned bar bratislava,0,46,0%,8.02
paloma nera split,0,46,0%,9.2
bars in miami,0,46,0%,25.7
bars in rome,0,46,0%,31.04
p31 spritz,0,45,0%,2.76
belgrade cocktail club,0,45,0%,9.04
michalska cocktail room,0,45,0%,9.89
downtown kuala lumpur bar,0,45,0%,38.96
mysterium cocktail bar firenze,0,44,0%,10.41
ranking bars,0,44,0%,36.86
double fun chicago,0,43,0%,6.23
bar chenin,0,43,0%,8.79
almanac philadelphia,0,42,0%,8.93
nightmoves brooklyn,0,42,0%,13.12
best bars in las vegas,0,42,0%,27.79
bars in sydney australia,0,42,0%,35.64
modern cocktails,0,42,0%,67.43
knock on wood south jakarta city,0,41,0%,6.63
top 50 bars in the world 2026,0,41,0%,9.32
strings bar,0,41,0%,10.07
best bars in prague,0,41,0%,34.22
cocktails trondheim,0,41,0%,38.27
melbourne australia bars,0,41,0%,39.1
saikindo menu,0,40,0%,7.67
mecenas guadalajara,0,39,0%,8.13
soma bar,0,39,0%,8.21
room 207 menu,0,39,0%,10.21
the doctors office seattle,0,39,0%,13.9
macau cocktail bar,0,39,0%,27.92
cocktail bar kathmandu,0,39,0%,34.03
bar nara,0,39,0%,37.28
cocktail bar trondheim,0,39,0%,43.05
top rated bars london,0,39,0%,49.87
urania bar menu,0,38,0%,8.24
thyme bar,0,38,0%,10.08
bars in las vegas,0,38,0%,28.11
bars in tokyo japan,0,38,0%,44.61
green aperol,0,37,0%,1.46
bisou canal saint martin,0,37,0%,11.32
leo rooftop budapest,0,37,0%,16.57
best drink magazines,0,37,0%,24.57
kuala lumpur city centre bar,0,37,0%,47.22
top 500 bars,0,36,0%,6.97
off the record washington dc,0,36,0%,10.75
las condes santiago cocktail bar,0,36,0%,11.25
sip awards 2023,0,36,0%,35.03
best bars in dubai,0,36,0%,40.25
bars ranking,0,35,0%,34.57
continental deli,0,35,0%,45.14
truth and dare vienna,0,34,0%,8.76
cocktail bar bangkok,0,34,0%,16.29
magazine bar,0,34,0%,19.44
bars in bangkok,0,34,0%,38.59
all night skate,0,33,0%,5.48
best kept secret,0,33,0%,8.61
top bars in boston,0,33,0%,27.67
cocktail bars osaka,0,33,0%,33.24
el espacio oaxaca,0,32,0%,8.44
goldcock whisky,0,32,0%,9.03
lady jane denver,0,32,0%,9.19
suzie wong - dinner party experience,0,32,0%,9.59
bar mordecai,0,32,0%,15.34
budapest bars,0,32,0%,43.25
"""planta baja cocktail bar"" madrid marqués del duero 8",0,31,0%,3.39
horatio menu,0,31,0%,7.45
bar track tokyo,0,31,0%,8.26
bars in greece,0,31,0%,11.32
cocktail bars,0,31,0%,20.13
best bars,0,31,0%,22.61
scofflaw cocktail,0,31,0%,29.68
best cocktail bars in venice italy,0,31,0%,31.16
best bar in seoul,0,31,0%,39.81
stockholm bars,0,31,0%,40
the colorado bar,0,31,0%,47.55
tokyo bar,0,31,0%,48.55
spirits innovation,0,31,0%,56.87
hide bar budapest,0,30,0%,8.27
papa doble florence,0,30,0%,8.47
urania bar zagreb,0,30,0%,9.03
art katowice,0,30,0%,10.27
bruder vienna,0,30,0%,10.9
bars industry,0,30,0%,28.77
seoul bar,0,30,0%,32.6
bars grand cayman,0,30,0%,33.7
what happened to russell davis from bar rescue,0,29,0%,5.17
the loft santiago,0,29,0%,9.38
bisou paris,0,29,0%,10.1
fitz bar amsterdam,0,29,0%,10.28
benjamin bar,0,29,0%,10.31
sao paulo bar,0,29,0%,21.41
bars las vegas,0,29,0%,25.55
cocktail bar,0,29,0%,27.55
septime la cave,0,29,0%,39.79
bar budapest,0,29,0%,47.66
site:barmagazine.com,0,29,0%,66.86
dangerous water palma,0,28,0%,7.25
strings cocktail bar split,0,28,0%,8.46
analogue initiative,0,28,0%,8.54
flisak 76 gdansk,0,28,0%,9.11
antique american bar,0,28,0%,9.93
druid bar,0,28,0%,10.64
best speakeasy boston,0,28,0%,11
mad florence,0,28,0%,16.29
hong kong bars,0,28,0%,47.43
aperitif cocktail,0,28,0%,84.14
aperol green,0,27,0%,1.33
gaia cocktails copenhagen,0,27,0%,7.56
aabbcc,0,27,0%,8.81
q bar,0,27,0%,9.26
hats jakarta,0,27,0%,9.33
speakeasy reykjavik,0,27,0%,11.07
side door,0,27,0%,11.74
best cocktails in la,0,27,0%,32.7
prague bars,0,27,0%,39.52
exclusive cocktail bar event,0,27,0%,51.33
beogradski koktel klub vračar,0,26,0%,5.54
speakeasies in boston,0,26,0%,6.69
bar long fong,0,26,0%,7.08
ginza metrics,0,26,0%,48.46
jin bo law menu,0,25,0%,6.16
side door photos,0,25,0%,6.92
दुनिया के 100 प्रभावशाली व्यक्ति 2026,0,25,0%,10.68
kink berlin menu,0,25,0%,11.76
sky bar bratislava,0,25,0%,13.28
bar pacyfik,0,25,0%,16.12
bar in bengaluru,0,25,0%,27.4
best bar dc,0,25,0%,30.52
bars in melbourne,0,25,0%,32.76
cocktails in macau,0,25,0%,35.68
bars award,0,25,0%,39.2
bars,0,25,0%,47.76
p31 green spritz,0,24,0%,3
dangerous water cocktail bar,0,24,0%,8.04
greece bars,0,24,0%,15.25
best cocktail bars new york,0,24,0%,16.79
doctors office seattle,0,24,0%,17.62
top picks bars,0,24,0%,31.46
bars in grand cayman,0,24,0%,32.5
best bars in la,0,24,0%,41.04
classic cocktails,0,24,0%,70.29
aperitivo drink,0,24,0%,78.88
p31 drink,0,23,0%,4.39
knock on wood south jakarta city photos,0,23,0%,5.17
imbibe! book,0,23,0%,6.43
m+ms bar seoul,0,23,0%,8.3
string’s bar,0,23,0%,8.87
off the record dc bar,0,23,0%,9.3
room 207,0,23,0%,10.13
old fashioned bar,0,23,0%,10.39
mysterium florence,0,23,0%,11.13
new bars in singapore 2026,0,23,0%,11.39
aruba day drink tijuana,0,23,0%,11.87
b&gc denver,0,23,0%,13.35
best cocktails in los angeles,0,23,0%,37.57
bars in prague,0,23,0%,38.57
bars sydney,0,23,0%,42.87
"""planta baja cocktail bar"" madrid official",0,22,0%,2
"""planta baja cocktail bar"" ""marqués del duero"" madrid",0,22,0%,2.59
"""planta baja cocktail bar"" madrid marqués del duero",0,22,0%,3.45
bar sistema menu,0,22,0%,6.05
top 100 bars in the world 2026,0,22,0%,6.59
the trust krakow,0,22,0%,7.55
bar kaiju miami,0,22,0%,9.14
side door singapore,0,22,0%,9.27
bar benjamin melrose,0,22,0%,9.77
bars in macau,0,22,0%,25.45
bars in turin,0,22,0%,26.05
cocktail bars downtown vancouver,0,22,0%,26.05
cocktail bars los angeles,0,22,0%,26.86
bars in new delhi,0,22,0%,27.05
best cocktail bars nyc,0,22,0%,27.68
cocktail bar vienna,0,22,0%,41.23
boris ivan,0,21,0%,2.86
russell bar rescue,0,21,0%,6.52
shelter calgary,0,21,0%,7.9
"""cocktail magazine international""",0,21,0%,8.95
"the curtain club potsdamer platz 3 berlin, 10785 germany",0,21,0%,8.95
nightmoves williamsburg,0,21,0%,9.76
amma don reykjavik,0,21,0%,9.81
victory copenhagen,0,21,0%,9.95
hide bar,0,21,0%,10.19
native singapore,0,21,0%,13.48
bangkok city center hotel bar,0,21,0%,17.24
bar in makati,0,21,0%,22.29
bratislava cocktail bar,0,21,0%,25.29
cocktail bar sao paulo,0,21,0%,25.81
bars in seoul south korea,0,21,0%,29.48
best bar in hong kong,0,21,0%,29.9
best bars las vegas,0,21,0%,37.33
bar in rome,0,21,0%,40.1
top rated bars in london,0,21,0%,42.62
bar singapore,0,21,0%,47.52
best bars in the world 2026,0,20,0%,1.6
the best kept secret,0,20,0%,7.95
hommage stockholm,0,20,0%,8.2
goldcock,0,20,0%,8.4
offtrack bar singapore,0,20,0%,8.95
lovo cocktail bar madrid,0,20,0%,9.1
bubbles cocktail book,0,20,0%,9.7
somma bar buenos aires,0,20,0%,9.85
tres monos,0,20,0%,9.9
menú de the loft santiago,0,20,0%,10.1
popcity,0,20,0%,12.05
cocktail bar las condes santiago,0,20,0%,13.5
doctor's office seattle,0,20,0%,18.55
bangkok hotel bar,0,20,0%,24.2
classic cocktails list,0,20,0%,28.55
best bar in makati,0,20,0%,30.4
new orleans bars,0,20,0%,42.25
bar review,0,20,0%,42.85
bar stockholm,0,20,0%,47.65
bars websites,0,20,0%,65.7
"""bar world 100"" bars ranking",0,19,0%,2.26
imbibe! david wondrich,0,19,0%,5.05
le caveau,0,19,0%,8.79
offtrack bar,0,19,0%,9.37
the trust kraków,0,19,0%,9.47
bar sathorn,0,19,0%,10.74
cocktail magazine,0,19,0%,15.11
miami bars,0,19,0%,32.42
osaka cocktail bar,0,19,0%,33.53
trends in bars,0,19,0%,76.47
tribenative.com,0,18,0%,7.17
bar lupo zurich,0,18,0%,7.44
feliks bar cafe,0,18,0%,7.83
father forgive me hours,0,18,0%,8.33
friends of friends chicago,0,18,0%,9.22
bars in mumbai,0,18,0%,9.56
paradiso menu barcelona,0,18,0%,9.61
bar pomme seoul,0,18,0%,10.28
mr boston cocktail book,0,18,0%,11.06
best bar,0,18,0%,13.17
bar tonique,0,18,0%,20.44
cocktail bar tokyo,0,18,0%,31.17
bars in dubai,0,18,0%,31.22
vegas bars,0,18,0%,33.61
bars melbourne australia,0,18,0%,34.61
cocktails dubai,0,18,0%,39.44
bar rome,0,18,0%,41.56
hong kong cocktail bar,0,18,0%,44.56
bar berlin,0,18,0%,49.5
p31 green aperitivo,0,17,0%,1.47
"""planta baja cocktail bar"" ""marqués del duero, 8"" madrid",0,17,0%,1.53
world's 50 best bars 2026,0,17,0%,2.88
fix me a drink bucharest hours official,0,17,0%,5.76
danico cocktail bar menu,0,17,0%,6.47
minus one prague,0,17,0%,7.88
russell davis bar rescue wikipedia,0,17,0%,8
bar libre tokyo,0,17,0%,9.53
popcity singapore,0,17,0%,9.59
offtrack singapore,0,17,0%,9.76
zaza cocktail,0,17,0%,10
goldcock whiskey,0,17,0%,10.06
bar sathorn bangkok,0,17,0%,10.18
top 50 bars in europe,0,17,0%,10.35
1986 steakhouse owner,0,17,0%,10.53
aldea cocktail bar,0,17,0%,10.71
lupo bar,0,17,0%,11.24
the silver stamp las vegas,0,17,0%,11.47
dragonfly bar hong kong,0,17,0%,11.76
mirror hospitality,0,17,0%,12.29
sidedoor,0,17,0%,12.53
blind tiger dubai,0,17,0%,13
needle & thread seattle,0,17,0%,13.88
ryan chetiyawardana,0,17,0%,14.53
bar shoji,0,17,0%,15.12
cantina ok,0,17,0%,22.82
bars in los angeles,0,17,0%,29.94
kwant mayfair,0,17,0%,30.18
bar las vegas,0,17,0%,31.12
best cocktail bar,0,17,0%,33.53
best bars prague,0,17,0%,41.24
aperitivo green,0,16,0%,3.25
dangerous water cocktail bar palma,0,16,0%,7.81
the loft carta,0,16,0%,8.12
margarita mile hong kong,0,16,0%,8.38
m+ms bar,0,16,0%,8.69
almanac philly,0,16,0%,9.06
bar kaiju,0,16,0%,9.25
bijou drinkery room mexico city,0,16,0%,9.25
pink pony club budapest,0,16,0%,9.5
vancouver cocktail bars,0,16,0%,9.62
thaipioka bangkok,0,16,0%,9.81
french liquer,0,16,0%,9.88
side door bar singapore,0,16,0%,10.25
devils toboggan,0,16,0%,10.62
bgc denver,0,16,0%,13
soho spirits festival,0,16,0%,13.88
passing fancies birmingham,0,16,0%,14
bar influencers,0,16,0%,16.56
best bars in zurich,0,16,0%,21.75
best bars in rome,0,16,0%,30.88
cocktail lounge los angeles,0,16,0%,32.5
tokyo cocktail bar,0,16,0%,36.56
prague best bars,0,16,0%,37.19
rome bars,0,16,0%,43.19
stockholm bar,0,16,0%,47.56
"""bar world 100"" bartenders",0,15,0%,4
bar world,0,15,0%,6.27
paal bar shanghai,0,15,0%,6.4
knock on wood south jakarta city reviews,0,15,0%,7.07
mecenas bar,0,15,0%,8.07
arbane cocktail bar paris official,0,15,0%,9.53
fuk cocktail bar,0,15,0%,10
sapphire bar roma,0,15,0%,10.47
lucky liquor edinburgh,0,15,0%,10.53
don woods say when,0,15,0%,11.2
the reserve bar,0,15,0%,11.27
best cocktail bars sydney,0,15,0%,12.8
bartenders choice awards,0,15,0%,20.8
bars in paris,0,15,0%,24.73
global bar,0,15,0%,26.87
cool bars in las vegas,0,15,0%,31.2
bars in japan,0,15,0%,38.8
cool bars barcelona,0,15,0%,46.2
berliner bars,0,15,0%,57.07
"""bar world 100"" bars",0,14,0%,2.07
"""planta baja cocktail bar"" ""marqués del duero""",0,14,0%,3.21
bar otani taipei,0,14,0%,4.57
camp runamuck bartender,0,14,0%,4.93
monica berg bartender,0,14,0%,5
stanislav vadrna,0,14,0%,6.21
barcreator,0,14,0%,6.64
cocktail balance 2.0,0,14,0%,7.07
not no bar santa monica,0,14,0%,7.57
devil's toboggan,0,14,0%,7.64
suzu bar,0,14,0%,7.86
mori bar,0,14,0%,9
boticario bar buenos aires,0,14,0%,9.43
ku bar bangkok,0,14,0%,10.07
aldea barcelona,0,14,0%,10.21
pomme seoul,0,14,0%,10.21
southside parlor seoul,0,14,0%,10.36
pop city menu,0,14,0%,10.86
sistema bar,0,14,0%,10.93
cinderella bar,0,14,0%,12.79
cantina ok menu,0,14,0%,17.36
cocktail paradiso,0,14,0%,18.64
bars in paris france,0,14,0%,22.29
cocktail bar las vegas,0,14,0%,23.57
makati bars,0,14,0%,25
ozone hong kong,0,14,0%,26.07
macao cocktail bar,0,14,0%,26.71
atwater cocktail club,0,14,0%,29
las vegas cocktail bar,0,14,0%,33.43
best bars in los angeles,0,14,0%,35.29
macao bar,0,14,0%,35.29
employees only new york,0,14,0%,38.93
cocktail bar venice,0,14,0%,39.29
best bar prague,0,14,0%,39.86
septime la cave parijs,0,14,0%,40.93
most popular bars,0,14,0%,43.14
cocktail bars nyc,0,14,0%,44.5
employees only nyc,0,14,0%,52.43
bar bon funk new bahru,0,14,0%,54.5
"""planta baja cocktail bar"" madrid ""marqués del duero""",0,13,0%,2.31
feliks bar warsaw,0,13,0%,6.46
sayani bar,0,13,0%,7.08
farmacia cocktail bar,0,13,0%,7.69
ralph bar chengdu,0,13,0%,8.69
q bar beograd,0,13,0%,8.85
string bar split,0,13,0%,9.08
fuk florence,0,13,0%,9.15
kimberly cavoores,0,13,0%,9.46
southside parlor,0,13,0%,9.85
bathtub gin seattle,0,13,0%,10.08
mingles hidden cocktail bar ho chi minh,0,13,0%,10.15
top 50 bars los angeles,0,13,0%,10.46
form and matter mexico city,0,13,0%,10.54
socio hong kong,0,13,0%,10.54
damn i miss paris,0,13,0%,10.85
pop city bar,0,13,0%,11.23
horatio,0,13,0%,11.69
bisou bar paris,0,13,0%,11.77
ulysses lisbon,0,13,0%,14.92
boston cocktail bars,0,13,0%,16.15
bar nouveau paris,0,13,0%,19.46
cocktail bars boston,0,13,0%,20.46
best bars in amsterdam,0,13,0%,24.46
popular bars in las vegas,0,13,0%,30.92
cocktail bars san francisco,0,13,0%,31.31
hotel bar bangkok,0,13,0%,33.15
best lounge bar downtown denver,0,13,0%,34.54
bars in las vegas nv,0,13,0%,35.54
osaka bar,0,13,0%,35.92
hotel bars in changsha,0,13,0%,36.15
bar osaka,0,13,0%,38.92
best bar in prague,0,13,0%,38.92
bar center,0,13,0%,40.69
bars in singapore,0,13,0%,41.62
best bars sydney,0,13,0%,43.62
best bars vegas,0,13,0%,43.62
the vault las vegas,0,13,0%,46.69
best bars melbourne,0,13,0%,51.92
green aperitivo,0,12,0%,1.58
aperol spritz green,0,12,0%,1.67
daniel nevsky,0,12,0%,5.83
best speakeasy toronto,0,12,0%,6.25
the grey room tokyo,0,12,0%,7
gaia bar,0,12,0%,7.58
navy strength seattle phone 2505 2nd ave official,0,12,0%,8.42
gaia copenhagen,0,12,0%,9.08
codigo +86,0,12,0%,9.25
mori bar ginza,0,12,0%,9.5
sistema bar split,0,12,0%,9.5
bar snack nyc,0,12,0%,9.58
bubbles: a guide to carbonated cocktails,0,12,0%,9.75
hyper drinks,0,12,0%,9.75
pussyfoot saloon,0,12,0%,9.83
old fashioned bratislava,0,12,0%,10
bisou cocktail bar paris,0,12,0%,10.33
maria mezcal miraflores,0,12,0%,10.5
bisou canal,0,12,0%,10.58
night moves new york,0,12,0%,10.92
cinderella bar seoul,0,12,0%,11.17
mingles bar,0,12,0%,11.33
paradiso stockholm,0,12,0%,11.67
off the record hay adams,0,12,0%,12.25
skybar bratislava,0,12,0%,13.25
officina milano,0,12,0%,14
aqua bar bangkok,0,12,0%,16.17
mumbai cocktail bar,0,12,0%,17.5
best cocktails new york,0,12,0%,23.33
blind tiger,0,12,0%,25.75
best bars nyc,0,12,0%,27.17
paris bars,0,12,0%,29.67
cocktail bar boston,0,12,0%,33.5
best bars berlin,0,12,0%,34.75
san diego bars,0,12,0%,36.42
best bars in nyc,0,12,0%,38.33
bars in budapest,0,12,0%,41.17
singapore bar,0,12,0%,41.25
bars in london,0,12,0%,43
bar bon funk reservation,0,12,0%,45.58
continental delicatessen,0,12,0%,46.75
devil's cut & cola,0,12,0%,59.17
the vault speakeasy,0,12,0%,66.58
"""planta baja cocktail bar"" ""marqués del duero, 8""",0,11,0%,1.91
imbibe by david wondrich,0,11,0%,4.36
jin bo law skybar (hong kong) kowloon city menu,0,11,0%,5.36
best bars in mexico city 2026,0,11,0%,6.45
d.still seoul,0,11,0%,7
mala audio bar,0,11,0%,7.18
suzu bar shanghai,0,11,0%,7.55
"""arbane cocktail bar"" paris",0,11,0%,7.91
nothingness taipei,0,11,0%,8.09
"""trillby & chadwick"" bottles",0,11,0%,8.36
paradiso menu,0,11,0%,8.45
kink bar berlin menu,0,11,0%,8.82
american bonded denver,0,11,0%,9
"%""planta baja cocktail bar"" madrid salamanca",0,11,0%,9.36
lovo madrid,0,11,0%,9.36
form + matter mexico city,0,11,0%,9.55
side door cocktail bar,0,11,0%,9.73
century grand,0,11,0%,9.82
the trust bar krakow,0,11,0%,9.91
stjärtilleriet cocktail omakase,0,11,0%,10.45
horatio singapore,0,11,0%,10.55
marlowe bar barcelona,0,11,0%,10.82
roots bar,0,11,0%,11.18
top 10 bars in singapore,0,11,0%,11.82
reserve bar las vegas,0,11,0%,12.18
