slug	name	country	city	email	kind	reason	source	url
the-boxcar-cocktail-bar	The Boxcar Cocktail Bar	Canada	Vancouver	info@boxcarvacnouver.com	offsite	off-domain (boxcarvacnouver.com)	form-config	https://boxcarvancouver.com/
the-boxcar-cocktail-bar	The Boxcar Cocktail Bar	Canada	Vancouver	info@boxcarvancouver.com	venue	the venue's own domain	page-text	https://boxcarvancouver.com/
the-boxcar-cocktail-bar	The Boxcar Cocktail Bar	Canada	Vancouver	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://boxcarvancouver.com/
the-boxcar-cocktail-bar	The Boxcar Cocktail Bar	Canada	Vancouver	88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://boxcarvancouver.com/
the-boxcar-cocktail-bar	The Boxcar Cocktail Bar	Canada	Vancouver	e0b4d631da7b4200828051f7f9c783e3@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://boxcarvancouver.com/
uva-wine-cocktail-bar	Uva Wine & Cocktail Bar	Canada	Vancouver	info@uvavancouver.com	venue	the venue's own domain	form-config	https://uvavancouver.com/
uva-wine-cocktail-bar	Uva Wine & Cocktail Bar	Canada	Vancouver	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://uvavancouver.com/
uva-wine-cocktail-bar	Uva Wine & Cocktail Bar	Canada	Vancouver	18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://uvavancouver.com/
bootlegger-cocktail-bar-cuisine-montreal	Bootlegger Cocktail Bar & Cuisine Montréal	Canada	Montreal	information@barbootlegger.com	venue	the venue's own domain	form-config	https://barbootlegger.com/contact
bootlegger-cocktail-bar-cuisine-montreal	Bootlegger Cocktail Bar & Cuisine Montréal	Canada	Montreal	marketing@barbootlegger.com	role	departmental mailbox (marketing@)	form-config	https://barbootlegger.com/contact
bootlegger-cocktail-bar-cuisine-montreal	Bootlegger Cocktail Bar & Cuisine Montréal	Canada	Montreal	booking@barbootlegger.com	venue	the venue's own domain	form-config	https://barbootlegger.com/contact
fairytale-bar-berlin	Fairytale Bar	Germany	Berlin	reservierung@fairytale.bar	venue	the venue's own domain	form-config	https://www.fairytale.bar/
galander-charlottenburg-berlin	Galander Charlottenburg	Germany	Berlin	info@galander.berlin	venue	the venue's own domain	form-config	https://www.galander.berlin/galander-bar-charlottenburg/
fabelei-berlin	FABELEI	Germany	Berlin	hello@fabelei.com	venue	the venue's own domain	json-ld	https://www.fabelei.com/
krass-boser-wolf-berlin	Krass Böser Wolf	Germany	Berlin	info@krassboeserwolf.de	venue	the venue's own domain	form-config	https://www.krassboeserwolf.de/
le-jardin-berlin	Le Jardin	Germany	Berlin	hello@lejardin-bar.de	venue	the venue's own domain	page-text	http://lejardin-bar.de/
little-link-cologne	Little Link	Germany	Cologne	bar@littlelink.de	venue	the venue's own domain	json-ld	https://www.littlelink.de/
friesenvierzig-cologne	Friesenvierzig	Germany	Cologne	info@friesen-bar.com	venue	the venue's own domain	form-config	https://www.friesen-bar.com/
bar-raval	Bar Raval	Canada	Toronto	sup@thisisbarraval.com	venue	the venue's own domain	form-config	https://www.thisisbarraval.com/info
bar-raval	Bar Raval	Canada	Toronto	nsup@thisisbarraval.com	venue	the venue's own domain	page-text	https://www.thisisbarraval.com/info
suderman-cologne	Suderman	Germany	Cologne	06info@sudermanbar.de	venue	the venue's own domain	page-text	https://www.sudermanbar.de/impressum
suderman-cologne	Suderman	Germany	Cologne	info@sudermanbar.de	venue	the venue's own domain	page-text	https://www.sudermanbar.de/impressum
woods-cologne	Woods	Germany	Cologne	info@woods-cologne.de	venue	the venue's own domain	form-config	https://www.woods-cologne.de/
ona-mor-cologne	Ona Mor	Germany	Cologne	drink@onamor.de	venue	the venue's own domain	json-ld	https://www.onamor.de/
moloko-frankfurt-am-main	moloko+	Germany	Frankfurt am Main	hallo@moloko-am-meer.com	venue	the venue's own domain	cloudflare-obfuscated	https://www.moloko-am-meer.com/
the-tiny-cup-frankfurt-am-main	The Tiny Cup	Germany	Frankfurt am Main	info@thetinycup.de	venue	the venue's own domain	form-config	https://www.thetinycup.de/
squarebar-dusseldorf	Squarebar	Germany	Düsseldorf	info@squarebar.online	venue	the venue's own domain	cloudflare-obfuscated	https://www.squarebar.online/about
library-bar-toronto	Library Bar	Canada	Toronto	ryh.restaurantreservations@fairmont.com	group	fairmont group or hotel inbox	form-config	https://www.fairmont.com/en/hotels/toronto/fairmont-royal-york/dining/librarybar.bar.html
library-bar-toronto	Library Bar	Canada	Toronto	ryh.royalservice@fairmont.com	group	fairmont group or hotel inbox	form-config	https://www.fairmont.com/en/hotels/toronto/fairmont-royal-york/dining/librarybar.bar.html
ba-nomu-hamburg	Bā Nomu	Germany	Hamburg	mail@nomu-hamburg.de	venue	the venue's own domain	form-config	https://nomu-hamburg.de/
le-mal-necessaire	Le Mal Nécessaire	Canada	Montreal	cv@lemalnecessaire.com	venue	the venue's own domain	cloudflare-obfuscated	https://lemalnecessaire.com/contact
collab-bar-hamburg	COLLAB Bar	Germany	Hamburg	hello@collab-bar.de	venue	the venue's own domain	json-ld	https://www.collab-bar.de/
yaldy-frankfurt-am-main	Yaldy	Germany	Frankfurt am Main	info@yaldy.bar	venue	the venue's own domain	page-text	https://www.yaldy.bar/impressum
fontenay-bar-hamburg	Fontenay Bar	Germany	Hamburg	info@thefontenay.com	venue	the venue's own domain	json-ld	https://www.thefontenay.com/
jahreszeiten-bar-hamburg	Jahreszeiten Bar	Germany	Hamburg	hamburg@fairmont.com	group	fairmont group or hotel inbox	form-config	https://www.fairmont.com/en/hotels/hamburg/fairmont-hotel-vier-jahreszeiten/dining/jahreszeiten-bar.bar.html
toddy-tapper-cologne	Toddy Tapper	Germany	Cologne	info@domainname.com	offsite	off-domain (domainname.com)	form-config	https://www.toddytapperbar.de/
toddy-tapper-cologne	Toddy Tapper	Germany	Cologne	bar@toddytapper.de	offsite	off-domain (toddytapper.de)	page-text	https://www.toddytapperbar.de/
herbarium-bar-gottingen	Herbarium Bar	Germany	Göttingen	meeting@freigeist-friends.com	offsite	off-domain (freigeist-friends.com)	form-config	https://www.freigeist-hotels.de/de/freigeist-hotels/freigeist-goettingen-innenstadt/essen-trinken/herbarium-bar/
herbarium-bar-gottingen	Herbarium Bar	Germany	Göttingen	events@freigeist-friends.com	offsite	off-domain (freigeist-friends.com)	form-config	https://www.freigeist-hotels.de/de/freigeist-hotels/freigeist-goettingen-innenstadt/essen-trinken/herbarium-bar/
herbarium-bar-gottingen	Herbarium Bar	Germany	Göttingen	info@freigeist-goettingen.de	offsite	off-domain (freigeist-goettingen.de)	page-text	https://www.freigeist-hotels.de/de/freigeist-hotels/freigeist-goettingen-innenstadt/essen-trinken/herbarium-bar/
herbarium-bar-gottingen	Herbarium Bar	Germany	Göttingen	info@unikateur.com	offsite	off-domain (unikateur.com)	form-config	https://www.freigeist-hotels.de/impressum
herbarium-bar-gottingen	Herbarium Bar	Germany	Göttingen	rs@die-schneiderei-berlin.de	offsite	off-domain (die-schneiderei-berlin.de)	form-config	https://www.freigeist-hotels.de/impressum
herbarium-bar-gottingen	Herbarium Bar	Germany	Göttingen	office@freigeist-friends.com	offsite	off-domain (freigeist-friends.com)	form-config	https://www.freigeist-hotels.de/impressum
the-chug-club-hamburg	The Chug Club	Germany	Hamburg	chug@thechugclub.bar	venue	the venue's own domain	form-config	https://thechugclub.bar/
the-door-karlsruhe	The Door	Germany	Karlsruhe	info@the-door.bar	venue	the venue's own domain	page-text	https://www.the-door.bar/
martini-bar-hamburg	Martini Bar	Germany	Hamburg	hamburg@fairmont.com	group	fairmont group or hotel inbox	form-config	https://hvj.de/en/grill.html
martini-bar-hamburg	Martini Bar	Germany	Hamburg	grill.hvj@fairmont.com	group	fairmont group or hotel inbox	form-config	https://hvj.de/en/grill.html
charles-bar-lutherstadt-wittenberg	Charles Bar	Germany	Lutherstadt Wittenberg	martin@charlesbar.de	venue	the venue's own domain	form-config	https://www.charlesbar.de/
ihro-mannheim	Ihro	Germany	Mannheim	prost@ihro-bar.de	venue	the venue's own domain	form-config	https://www.ihro-bar.de/
ihro-mannheim	Ihro	Germany	Mannheim	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.ihro-bar.de/
spiritus-mainz	Spiritus	Germany	Mainz	info@spiritus-mainz.de	venue	the venue's own domain	form-config	https://www.spiritus-mainz.de/
barroom-munich	Barroom	Germany	Munich	info@barroom-muenchen.de	venue	the venue's own domain	form-config	https://www.barroom-muenchen.de/impressum
bar-montez-munich	Bar Montez	Germany	Munich	info@rosewoodhotelgroup.com	offsite	off-domain (rosewoodhotelgroup.com)	page-text	https://www.rosewoodhotels.com/contact
sieferle-ko-bar-mannheim	Sieferle & KØ Bar	Germany	Mannheim	info@hagestolzbar.de	offsite	off-domain (hagestolzbar.de)	form-config	https://www.sieferleundko.de/
sieferle-ko-bar-mannheim	Sieferle & KØ Bar	Germany	Mannheim	info@codepoetry.de	offsite	off-domain (codepoetry.de)	page-text	https://www.sieferleundko.de/
die-goldene-bar-munich	Die Goldene Bar	Germany	Munich	mail@goldenebar.de	venue	the venue's own domain	form-config	https://www.goldenebar.de/
hanky-panky-stuttgart	Hanky Panky	Germany	Stuttgart	hanky.panky.stuttgart@gmail.com	venue	free mailbox published on the venue's own site	form-config	https://www.hanky-panky.net/
hanky-panky-stuttgart	Hanky Panky	Germany	Stuttgart	605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.hanky-panky.net/
hanky-panky-stuttgart	Hanky Panky	Germany	Stuttgart	88170cb0c9d64f94b5821ca7fd2d55a4@sentry-next.wixpress.com	offsite	off-domain (sentry-next.wixpress.com)	page-text	https://www.hanky-panky.net/
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	hotel.adlon@kempinski.com	group	kempinski group or hotel inbox	cloudflare-obfuscated	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	meetings.adlon@kempinski.com	group	kempinski group or hotel inbox	cloudflare-obfuscated	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	restaurants.adlon@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	lorenz.adlon@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	reservations.corporate@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	info.development@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	pr.corporate@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	info.residences@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	contact@discoveryloyalty.com	offsite	off-domain (discoveryloyalty.com)	page-text	https://www.kempinski.com/de/hotel-adlon
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	data.privacy@kempinski.com	group	kempinski group or hotel inbox	cloudflare-obfuscated	https://www.kempinski.com/privacy-policy
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.frankfurt@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.london@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	kempinski@tm-russia.ru	offsite	off-domain (tm-russia.ru)	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.usa@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.dubai@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.china@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.india@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
lobby-lounge-bar-berlin	Lobby Lounge & Bar	Germany	Berlin	gso.sea@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	bar1705.dresden@kempinski.com	group	kempinski group or hotel inbox	cloudflare-obfuscated	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	reservations.taschenbergpalais@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	reservations.corporate@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	info.development@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	pr.corporate@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	info.residences@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	contact@discoveryloyalty.com	offsite	off-domain (discoveryloyalty.com)	page-text	https://www.kempinski.com/de/hotel-taschenbergpalais/restaurants-bars/bar-1705
bar-1705-dresden	Bar 1705	Germany	Dresden	data.privacy@kempinski.com	group	kempinski group or hotel inbox	cloudflare-obfuscated	https://www.kempinski.com/privacy-policy
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.frankfurt@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.london@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	kempinski@tm-russia.ru	offsite	off-domain (tm-russia.ru)	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.usa@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.dubai@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.china@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.india@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
bar-1705-dresden	Bar 1705	Germany	Dresden	gso.sea@kempinski.com	group	kempinski group or hotel inbox	page-text	https://www.kempinski.com/contact-us
jigger-spoon-stuttgart	Jigger & Spoon	Germany	Stuttgart	info@jiggerandspoon.de	venue	the venue's own domain	form-config	https://jiggerandspoon.de/
weisses-ross-bar-stuttgart	Weisses Ross Bar	Germany	Stuttgart	info@buntes-pferd.de	venue	the venue's own domain	form-config	https://buntes-pferd.de/
bartista-tubingen	Bartista	Germany	Tübingen	info@bartista.de	venue	the venue's own domain	form-config	https://www.bartista.de/
pino-s-bar-heidelberg	Pino's Bar	Germany	Heidelberg	959@959heidelberg.com	venue	the venue's own domain	form-config	https://www.959heidelberg.com/impressum
prost-brew-pub	Prost Brew Pub	India	Bengaluru	info@prost.in	venue	the venue's own domain	form-config	https://www.prost.in/bangalore.html
copitas	Copitas	India	Bengaluru	guest.historian@fourseasons.com	group	fourseasons group or hotel inbox	form-config	https://www.fourseasons.com/privacy
copitas	Copitas	India	Bengaluru	privacy.officer@fourseasons.com	group	fourseasons group or hotel inbox	form-config	https://www.fourseasons.com/privacy
copitas	Copitas	India	Bengaluru	info@privcom.gc.ca	offsite	off-domain (privcom.gc.ca)	page-text	https://www.fourseasons.com/privacy
copitas	Copitas	India	Bengaluru	ksadpo@fourseasons.com	group	fourseasons group or hotel inbox	page-text	https://www.fourseasons.com/privacy
copitas	Copitas	India	Bengaluru	copyright@fourseasons.com	group	fourseasons group or hotel inbox	form-config	https://www.fourseasons.com/legal
bob-s-bar	Bob's Bar	India	Bengaluru	grievance.officer@bygventures.in	offsite	off-domain (bygventures.in)	page-text	https://bobsbar.in/privacy
aer-mumbai	AER	India	Mumbai	guest.historian@fourseasons.com	group	fourseasons group or hotel inbox	form-config	https://www.fourseasons.com/privacy
aer-mumbai	AER	India	Mumbai	privacy.officer@fourseasons.com	group	fourseasons group or hotel inbox	form-config	https://www.fourseasons.com/privacy
aer-mumbai	AER	India	Mumbai	info@privcom.gc.ca	offsite	off-domain (privcom.gc.ca)	page-text	https://www.fourseasons.com/privacy
aer-mumbai	AER	India	Mumbai	ksadpo@fourseasons.com	group	fourseasons group or hotel inbox	page-text	https://www.fourseasons.com/privacy
aer-mumbai	AER	India	Mumbai	copyright@fourseasons.com	group	fourseasons group or hotel inbox	form-config	https://www.fourseasons.com/legal
eau-bar	Eau Bar	India	Mumbai	generalmanager.vindhyavilas@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations@oberoigroup.com	offsite	off-domain (oberoigroup.com)	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.amarvilas@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.bali@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservation.tobi@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.bengaluru@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.cecil@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.sukhvilas@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations.tosv@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.delhi@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.gurgaon@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.rajvilas@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations.nailafort@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.kolkata@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.lombok@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservation.toli@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.marrakech@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations.marrakech@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.mauritius@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations.mauritius@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.mumbai@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.philae@oberoihotels.coms	offsite	off-domain (oberoihotels.coms)	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.sahlhasheesh@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations.tosh@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.udaivilas@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.vanyavilas@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.wildflowerhall@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	generalmanager.zahra@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	reservations.zahra@oberoihotels.com	venue	the venue's own domain	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	lmhkg-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mohkg-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mosin-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mobkk-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mowfj-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mogzh-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mojkt-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
eau-bar	Eau Bar	India	Mumbai	mokul-reservations@mohg.com	group	mohg group or hotel inbox	page-text	https://www.oberoihotels.com/hotels-in-mumbai/restaurants/eau-bar/
